Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Bo Naylor,27.4,301,51,1,2,CLEVELAND,2023
Gabriel Arias,28.0,196,68,3,3,CLEVELAND,2023
Brayan Rocchio,27.4,298,52,2,4,CLEVELAND,2023
Steven Kwan,28.1,180,71,11,2,CLEVELAND,2023
David Fry,27.0,365,41,1,0,CLEVELAND,2023
Will Brennan,28.3,151,76,0,1,CLEVELAND,2023
Kris Bryant,26.4,445,28,0,0,COLORADO,2023
Ryan McMahon,25.8,519,16,2,1,COLORADO,2023
Sean Bouchard,27.3,321,48,1,1,COLORADO,2023
Michael Toglia,28.0,194,69,3,0,COLORADO,2023
Alan Trejo,26.4,448,27,0,0,COLORADO,2023
Ezequiel Tovar,28.1,189,69,2,2,COLORADO,2023
Brenton Doyle,29.9,13,98,9,0,COLORADO,2023
Hunter Goodman,27.6,274,56,1,2,COLORADO,2023
Javier Báez,28.1,178,71,2,1,DETROIT,2023
Andy Ibáñez,27.2,329,47,3,0,DETROIT,2023
Zach McKinstry,28.5,121,80,15,3,DETROIT,2023
Matt Vierling,29.1,54,91,1,0,DETROIT,2023
Jake Rogers,27.2,337,45,0,0,DETROIT,2023
Akil Baddoo,29.0,59,91,1,0,DETROIT,2023
Ryan Kreidler,27.8,236,62,2,0,DETROIT,2023
Parker Meadows,29.0,62,90,3,0,DETROIT,2023
Spencer Torkelson,27.4,305,50,1,1,DETROIT,2023
Kerry Carpenter,28.1,186,70,1,1,DETROIT,2023
Riley Greene,28.1,177,71,1,1,DETROIT,2023
Jose Altuve,26.9,380,38,6,6,HOUSTON,2023
Mauricio Dubón,28.1,182,71,2,0,HOUSTON,2023
Jeremy Peña,29.4,28,96,15,2,HOUSTON,2023
Yordan Alvarez,26.3,466,24,1,0,HOUSTON,2023
Yainer Diaz,27.6,270,56,1,1,HOUSTON,2023
Jake Meyers,29.2,52,92,14,5,HOUSTON,2023
Chas McCormick,28.2,173,72,1,3,HOUSTON,2023
Salvador Perez,24.3,596,3,0,0,KANSAS-CITY,2023
Kyle Isbel,27.6,269,56,2,1,KANSAS-CITY,2023
Freddy Fermin,27.1,362,41,0,2,KANSAS-CITY,2023
